"c_npc_instance","subtitle_de","subtitle_pl","subtitle_name","dialogue_instance_name"
"PC_HERO","Ich sehe hier niemanden, auf den diese Beschreibung passt.","Nie widzę tutaj nikogo pasującego do tego opisu.","DIA_Kolos_HELLO1_15_02","DIA_Kolos_HELLO1"
"NONE_5407_Kolos","Du bist lustig. Schade, dass das dein letzter Witz überhaupt ist.","Zabawny jesteś. Szkoda, że to twój ostatni żart w życiu.","DIA_Kolos_HELLO1_03_03","DIA_Kolos_HELLO1"
"NONE_5408_Tyler","Oh, ich sehe den Jäger des bedrohlichen Schattenläufers.","O, widzę pogromca groźnego Cieniostwora.","DIA_Tyler_HELLO1_03_01","DIA_Tyler_HELLO1"
"NONE_5408_Tyler","Kannst du meine Waffe sehen? Ich werde dich mit diesem Speer aufspießen!","Widzisz moją broń? Nabiję cię na tę włócznię jak szaszłyk!","DIA_Tyler_HELLO1_03_02","DIA_Tyler_HELLO1"
"PC_HERO","Ich habe gerade Hunger bekommen…","Akurat zrobiłem się głodny…","DIA_Tyler_HELLO1_15_03","DIA_Tyler_HELLO1"
"NONE_5414_Ultram","Auf diesen Kampf habe ich lange gewartet. Ein Fanfavorit, der einzige Sklave, der ein Gladiator wurde und es so weit geschafft hat …","Długo czekałem na tą walkę. Ulubieniec kibiców, jedyny niewolnik, który stał się Gladiatorem i zaszedł tak daleko…","DIA_Ultram_HELLO1_03_01","DIA_Ultram_HELLO1"
"NONE_5414_Ultram","Hier endet dein Weg, ich werde derjenige sein, der gegen den Champion kämpft!","Muszę cię zmartwić. Tutaj twoja droga się kończy, to ja będę walczył z mistrzem!","DIA_Ultram_HELLO1_03_02","DIA_Ultram_HELLO1"
"PC_HERO","Du kämpfst jetzt gegen den zukünftigen Champion!","Walczysz teraz, z przyszłym mistrzem!","DIA_Ultram_HELLO1_15_03","DIA_Ultram_HELLO1"
"NONE_5415_Stelhard","Ich werde dir den Kopf zerschmettern, Arschloch! Nur ich habe das Recht, diesen Kampf zu gewinnen!","Roztrzaskam ci łeb, śmieciu! Tylko ja mam prawo wygrać w tej walce!","DIA_STELHARD_HELLO1_03_01","DIA_STELHARD_HELLO1"
"PC_HERO","Ach? Und?","Doprawdy?","DIA_STELHARD_HELLO1_15_02","DIA_STELHARD_HELLO1"
"NONE_5415_Stelhard","Du denkst, ich habe Angst vor dir? Dass du bisher so viele Gegner besiegt hast, beeindruckt mich nicht.","Myślisz, że się ciebie boję? To, że pokonałeś tylu przeciwników do tej pory, nie robi na mnie wrażenia.","DIA_STELHARD_HELLO1_03_03","DIA_STELHARD_HELLO1"
"PC_HERO","Dein Bullshit beeindruckt mich auch nicht. Kämpfe!","Twoje pierdolenie też nie robi na mnie wrażenia. Walcz!","DIA_STELHARD_HELLO1_15_04","DIA_STELHARD_HELLO1"
"NONE_5416_Merlok","Lass es uns nicht unnötig verlängern, okay?","Nie przedłużajmy, dobrze?","DIA_MERLOK_HELLO1_03_01","DIA_MERLOK_HELLO1"
"NONE_5417_Hamlock","Was ist den mit dir?","A co to za łamaga?","DIA_Hamlock_HELLO1_03_01","DIA_Hamlock_HELLO1"
"PC_HERO","Ich bin vielleicht verletzt, aber ich werde dich trotzdem schlagen.","W lustro nie patrzysz. Może i jestem obolały, ale i tak cię pokonam.","DIA_Hamlock_HELLO1_15_02","DIA_Hamlock_HELLO1"
"NONE_5417_Hamlock","Das wird ziemlich lustig!","Całkiem zabawne!","DIA_Hamlock_HELLO1_03_03","DIA_Hamlock_HELLO1"
"NONE_5417_Hamlock","Ich werde gegen Hermes kämpfen, nicht gegen dich!","To ja zawalczę z Hermesem, nie ty!","DIA_Hamlock_HELLO1_03_04","DIA_Hamlock_HELLO1"
"PC_HERO","Wir werden sehen.","Przekonamy się.","DIA_Hamlock_HELLO1_15_05","DIA_Hamlock_HELLO1"
"NONE_5418_Zorwig","Haha! Ich habe mich auf den Turnierstart gefreut.","Haha! Nie mogłem się doczekać rozpoczęcia turnieju.","DIA_ZORWIG_HELLO1_03_01","DIA_ZORWIG_HELLO1"
"NONE_5418_Zorwig","Wenn ich dich so ansehe, habe ich wohl ein leichtes Spiel.","Czeka mnie łatwa przeprawa patrząc na ciebie.","DIA_ZORWIG_HELLO1_03_02","DIA_ZORWIG_HELLO1"
"PC_HERO","Mal sehen, wer es leichter hat.","Przekonamy się, kto będzie miał łatwiej.","DIA_ZORWIG_HELLO1_15_03","DIA_ZORWIG_HELLO1"
"NONE_5419_Caspian","Dein Glück endet hier.","Twoja droga tutaj się kończy.","DIA_CASPIAN_HELLO1_03_01","DIA_CASPIAN_HELLO1"
"PC_HERO","Wir werden sehen.","Zobaczymy młokosie.","DIA_CASPIAN_HELLO1_15_02","DIA_CASPIAN_HELLO1"
"NONE_5420_Diogenes","Hallo der Herr. Der bevorstehende Tod erwartet dich.","Witam serdecznie panowie. Czeka was rychła śmierć.","DIA_Diogenes_HELLO1_03_01","DIA_Diogenes_HELLO1"
"NONE_5420_Diogenes","Hast du diese Betrunkenen dazu gebracht, dir zu helfen?","Wziąłeś sobie do pomocy tych pijaków?","DIA_Diogenes_HELLO1_03_02","DIA_Diogenes_HELLO1"
"NONE_5420_Diogenes","Die Würfel sind gefallen.","Bułka z masłem.","DIA_Diogenes_HELLO1_03_03","DIA_Diogenes_HELLO1"
"NONE_5423_Ludwig","Lass uns einen guten Kampf austragen.","Dajmy dobrą walkę.","DIA_Ludwig_HELLO1_03_01","DIA_Ludwig_HELLO1"
"PC_HERO","Ich hoffen ich kann dir einen guten bieten.","No ja dam na pewno.","DIA_Ludwig_HELLO1_15_02","DIA_Ludwig_HELLO1"
"NONE_5424_Skalum","Deine Reise endet hier.","Twoja podróż tutaj się kończy.","DIA_SKALUM_ASASAS_03_01","DIA_SKALUM_ASASAS"
"PC_HERO","Wir werden sehen, für wen es Zeit ist.","Jeszcze się przekonamy, na kogo przyszła pora stary capie.","DIA_SKALUM_ASASAS_15_02","DIA_SKALUM_ASASAS"
"NONE_5425_Hans","Hör mir zu, der Gesandte des Königs hat mir viel Geld versprochen, wenn ich gegen dich gewinne.","Posłuchaj, wysłannik Króla obiecał mi ogromne pieniądze za wygranie z tobą.","DIA_Hans_HELLO1_03_01","DIA_Hans_HELLO1"
"NONE_5425_Hans","Und ich werde der erste sein, der dich tötet.","I ja będę pierwszym, który cię zabije.","DIA_Hans_HELLO1_03_02","DIA_Hans_HELLO1"
"PC_HERO","Wovon redest du?","Jak to pierwszym, o co ci chodzi?","DIA_Hans_HELLO1_15_03","DIA_Hans_HELLO1"
"NONE_5425_Hans","Kämpfe!","Walcz!","DIA_Hans_HELLO1_03_04","DIA_Hans_HELLO1"
"NONE_5431_Xantos","Ich werde nicht reden. Kämpfe!","Nie mam zamiaru paplać. Walcz!","DIA_XANTOS_HELLO1_03_01","DIA_XANTOS_HELLO1"
"NONE_5432_Largos","Na, wen haben wir denn da!","No proszę, kogo my tu mamy!","DIA_Largos_HELLO1_03_01","DIA_Largos_HELLO1"
"NONE_5432_Largos","Ich habe dich seit deinem ersten Kampf beobachtet und ich weiß, wie ich dich schlagen kann.","Obserwuję cię od twojej pierwszej walki i wiem jak cię pokonać.","DIA_Largos_HELLO1_03_02","DIA_Largos_HELLO1"
"PC_HERO","Cool, ich habe dich noch nie gesehen, aber ich weiß auch, wie ich dich schlagen kann.","Fajnie, ja ciebie nigdy na oczy nie widziałem, ale też wiem jak cię pokonać.","DIA_Largos_HELLO1_15_03","DIA_Largos_HELLO1"
"NONE_5432_Largos","Finden wir es heraus.","No to przekonajmy się.","DIA_Largos_HELLO1_03_04","DIA_Largos_HELLO1"
"NONE_5433_Fernid","Wir sind die Einzigen, die noch übrig sind!","Zostaliśmy tylko my!","DIA_Fernid_AS_03_01","DIA_Fernid_AS"
"PC_HERO","Es tut mir leid, aber ich werde gegen den Champion kämpfen.","Przykro mi, ale to ja zawalczę z mistrzem.","DIA_Fernid_AS_15_02","DIA_Fernid_AS"
"NONE_5433_Fernid","Da liegst du falsch.","Mylisz się.","DIA_Fernid_AS_03_03","DIA_Fernid_AS"
"NONE_5434_Trigero","Der Champion selbst. Glaubst du, du schaffst das hier?","Sam mistrz we własnej osobie. Myślisz, że sobie tutaj poradzisz?","DIA_Trigero_HELLO1_03_01","DIA_Trigero_HELLO1"
"NONE_5434_Trigero","Dies ist nicht irgendeine Bucht oder ein Dorf, in dem du mit Dorfbewohnern kämpfst.","To nie jest jakaś zatoka czy wioska, gdzie bijesz się z wieśniakami.","DIA_Trigero_HELLO1_03_02","DIA_Trigero_HELLO1"
"NONE_5434_Trigero","Zeit für eine echte Arena und Gladiatoren.","Czas na prawdziwą areną i gladiatorów.","DIA_Trigero_HELLO1_03_03","DIA_Trigero_HELLO1"
"PC_HERO","Deshalb muss ich dich töten, weil du diese Arena ruinierst!","Dlatego muszę cię usunąć, bo tylko to psujesz!","DIA_Trigero_HELLO1_15_04","DIA_Trigero_HELLO1"
"NONE_5435_Kamaz","Ich zerquetsche dich wie eine Fleischwanze!","Zgniotę cię jak robaka!","DIA_KAMAZ_HELLO1_03_01","DIA_KAMAZ_HELLO1"
"PC_HERO","Das werden wir noch sehen.","Zobaczymy.","DIA_KAMAZ_HELLO1_15_02","DIA_KAMAZ_HELLO1"
"NONE_5443_Grimbald","Du kannst mich nicht schlagen, du Narr!","Nie jesteś w stanie mnie pokonać głupcze!","DIA_GRIMBALD_HELLO1_03_01","DIA_GRIMBALD_HELLO1"
"PC_HERO","(gefährlich) Ach ja?","Czyżby?","DIA_GRIMBALD_HELLO1_15_02","DIA_GRIMBALD_HELLO1"
"NONE_5443_Grimbald","Du bist kein Champion, nur ein glücklicher Bastard!","Żaden z ciebie mistrz, zwyczajny farciarz!","DIA_GRIMBALD_HELLO1_03_03","DIA_GRIMBALD_HELLO1"
"PC_HERO","Nun ja …","No cóż…","DIA_GRIMBALD_HELLO1_15_04","DIA_GRIMBALD_HELLO1"
"NONE_5444_Tempok","Morra! Angeblich du der Champion von Arena im Dorf?","Witaj Morra! Ponoć ty być mistrz arena w wioska?","DIA_TEMPOK_HELLO1_03_01","DIA_TEMPOK_HELLO1"
"PC_HERO","Ja, worum geht es?","Tak, a o co chodzi?","DIA_TEMPOK_HELLO1_15_02","DIA_TEMPOK_HELLO1"
"NONE_5444_Tempok","Orks respektieren wahre Krieger.","Wyrazy szacunku, orkowie szanować prawdziwych wojowników.","DIA_TEMPOK_HELLO1_03_03","DIA_TEMPOK_HELLO1"
"NONE_5444_Tempok","Ich stolz, mit dir zu kämpfen.","Ja być dumny, że z tobą walczyć.","DIA_TEMPOK_HELLO1_03_04","DIA_TEMPOK_HELLO1"
"PC_HERO","Kämpfen wir also Ork, viel Glück.","Zatem walczmy orku, powodzenia.","DIA_TEMPOK_HELLO1_15_05","DIA_TEMPOK_HELLO1"
"NONE_5445_Wolfer","Hahaha! Weißt du, wer ich bin?","Hahaha! Wiesz kim jestem pajacu?","DIA_Wolfer_HELLO1_03_01","DIA_Wolfer_HELLO1"
"PC_HERO","Sag es mir.","No słucham.","DIA_Wolfer_HELLO1_15_02","DIA_Wolfer_HELLO1"
"NONE_5445_Wolfer","Ich bin der Sohn des Wolfs. Du hast keine Chance gegen mich!","Jestem wilczym synem. Nie masz ze mną szans!","DIA_Wolfer_HELLO1_03_03","DIA_Wolfer_HELLO1"
"PC_HERO","Du bist vom Wolfsclan?","Jesteś wilczym pajacem?","DIA_Wolfer_HELLO1_15_04","DIA_Wolfer_HELLO1"
"NONE_5445_Wolfer","Haha! Bei Vollmond sprechen die Wölfe zu mir, ich bin ihr Bruder. Ich werde dich gerne töten.","Haha! Podczas pełni księżyca wilki rozmawiają ze mną, jestem ich bratem. Zabiję cię z przyjemnością.","DIA_Wolfer_HELLO1_03_05","DIA_Wolfer_HELLO1"
"PC_HERO","Schön, aber es ist Mittag.","Fajnie, ale jest południe.","DIA_Wolfer_HELLO1_15_06","DIA_Wolfer_HELLO1"
"NONE_5446_Hulk","Ich habe auf dich gewartet.","Czekałem na ciebie.","DIA_HULK_HELLO1_03_01","DIA_HULK_HELLO1"
"PC_HERO","Ach? Und?","Doprawdy?","DIA_HULK_HELLO1_15_02","DIA_HULK_HELLO1"
"NONE_5446_Hulk","Du hast meinen Cousin getötet.","Zabiłeś mojego kuzyna.","DIA_HULK_HELLO1_03_03","DIA_HULK_HELLO1"
"PC_HERO","Wen?","Kogo?","DIA_HULK_HELLO1_15_04","DIA_HULK_HELLO1"
"NONE_5446_Hulk","Erinnerst du dich an Hermes? Der Champion der Bucht?","Pamiętasz Hermesa? Mistrza zatoki?","DIA_HULK_HELLO1_03_05","DIA_HULK_HELLO1"
"NONE_5446_Hulk","Ja, das war mein Cousin, und jetzt werde ich ihn rächen!","Tak, to był mój kuzyn, a teraz pomszczę go!","DIA_HULK_HELLO1_03_06","DIA_HULK_HELLO1"
"PC_HERO","Wir werden sehen!","Zobaczymy!","DIA_HULK_HELLO1_15_07","DIA_HULK_HELLO1"
"NONE_5447_Travis","Lass es uns nicht verlängern, okay?","Nie przedłużajmy, dobrze?","DIA_Travis_HELLO1_03_01","DIA_Travis_HELLO1"
"PC_HERO","Kampf zu zweit? Allein vielleicht, bist du so schwach?","Walka dwóch na jednego? Pojedynczo może, czy tacy słabi jesteście?","DIA_Travis_HELLO1_15_02","DIA_Travis_HELLO1"
"NONE_5447_Travis","Ich will nur nicht meine Zeit mit dir verschwenden.","Po prostu nie chce mi się tracić czasu na ciebie.","DIA_Travis_HELLO1_03_03","DIA_Travis_HELLO1"
"PC_HERO","Yaa, natürlich!","Taa, jasne!","DIA_Travis_HELLO1_15_04","DIA_Travis_HELLO1"
"PC_HERO","Warte, eine Frau?","Zaraz, kobieta?","DIA_Joanna_HELLO1_15_01","DIA_Joanna_HELLO1"
"NONE_5449_Joanna","Ist das ein Problem? Kann eine Frau kein Gladiator werden?","A co? Czy kobieta nie może zostać Gladiatorem?","DIA_Joanna_HELLO1_03_02","DIA_Joanna_HELLO1"
"NONE_5449_Joanna","Ich bin so weit gekommen, um gegen einen Champion zu kämpfen, und ein Pseudo-Champion aus den vorherigen beiden Arenen wird mir nicht im Weg stehen.","Dotarłam tak daleko, żeby zawalczyć z mistrzem, i jakiś pseudo czempion poprzednich dwóch aren nie stanie mi na drodze.","DIA_Joanna_HELLO1_03_03","DIA_Joanna_HELLO1"
"PC_HERO","Und doch stehe ich hier.","A jednak tutaj stoję.","DIA_Joanna_HELLO1_15_04","DIA_Joanna_HELLO1"
"NONE_5449_Joanna","Und das ist das Problem. Mein Dolch wird direkt in deinem Herzen landen.","I właśnie to jest problemem. Mój sztylet wyląduje prosto w twoim sercu.","DIA_Joanna_HELLO1_03_05","DIA_Joanna_HELLO1"
"PC_HERO","Das werden wir sehen!","Jak tylko go dosięgnie!","DIA_Joanna_HELLO1_15_06","DIA_Joanna_HELLO1"
"NONE_5450_Gindor","Ich habe mich auf dieses Treffen gefreut. Alle reden und schreiben über deine Macht.","Nie mogłem się doczekać tego spotkania. Wzyscy mówią i piszą o twojej potędze.","DIA_Gindor_HELLO1_03_01","DIA_Gindor_HELLO1"
"PC_HERO","Das ist doch schön zu hören.","Cieszy mnie to.","DIA_Gindor_HELLO1_15_02","DIA_Gindor_HELLO1"
"NONE_5450_Gindor","Lasst es uns nicht verlängern, lass uns kämpfen.","Nie przedłużajmy, walczmy.","DIA_Gindor_HELLO1_03_03","DIA_Gindor_HELLO1"
"NONE_5451_Platos","Es ist mir egal, wer du bist!","Nie obchodzi mnie kim jesteś!","DIA_Platos_HELLO1_03_01","DIA_Platos_HELLO1"
"NONE_5451_Platos","Ich werde dich zerschmettern und am Ende dich zum Himmel schicken.","Rozwalę cię i skończy się wychwalanie cię w niebogłosy.","DIA_Platos_HELLO1_03_02","DIA_Platos_HELLO1"
"PC_HERO","Wie heißt du?","Jak masz na imię?","DIA_Platos_HELLO1_15_03","DIA_Platos_HELLO1"
"NONE_5451_Platos","Platos - Championschlächter!","Platos - pogromca mistrza!","DIA_Platos_HELLO1_03_04","DIA_Platos_HELLO1"
"PC_HERO","Ein Platfus wäre passender, aber gut, so soll es sein.","Bardziej pasowałoby platfus, ale dobrze, niech ci będzie.","DIA_Platos_HELLO1_15_05","DIA_Platos_HELLO1"
"NONE_5452_Sauran","Die Götter sind mit mir, du hast keine Chance.","Bogowie są ze mną, nie masz szans.","DIA_Sauran_HELLO1_03_01","DIA_Sauran_HELLO1"
"PC_HERO","Super.","Super.","DIA_Sauran_HELLO1_15_02","DIA_Sauran_HELLO1"
"NONE_5453_Cyspian","Ich will nicht mit dir reden, kämpfe.","Nie chce mi się z tobą gadać, walcz.","DIA_Cyspian_HELLO1_03_01","DIA_Cyspian_HELLO1"
"PC_HERO","Auch gut. Ich will mich auch nicht mit dir unterhalten.","O jak dobrze. Też mi się nie chce z wami gadać.","DIA_Cyspian_HELLO1_15_02","DIA_Cyspian_HELLO1"
"NONE_5454_Becket","Ich bin extra für dich hergekommen!","Przypłynąłem tutaj specjalnie dla ciebie!","DIA_Becket_HELLO1_03_01","DIA_Becket_HELLO1"
"NONE_5454_Becket","Ich bin Captain Beckett, Schrecken dieser Gewässer. Meine Liebe zu Gold hat mich veranlasst, am Turnier teilzunehmen, und ich werde stolz darauf sein, einen neuen Titel zu erlangen, sobald ich mit dir fertig bin.","Jestem Kapitan Beckett, postrach tych wód. Moje zamiłowanie do złota skłoniło mnie do wzięcia udziału w turnieju, z dumą przygarnę nowy tytuł, kiedy się z tobą rozprawię.","DIA_Becket_HELLO1_03_02","DIA_Becket_HELLO1"
"PC_HERO","Und wo ist dein Schiff?","A gdzie jest twój okręt?","DIA_Becket_HELLO1_15_03","DIA_Becket_HELLO1"
"NONE_5454_Becket","Was geht dich das an?","A co cię to obchodzi?","DIA_Becket_HELLO1_03_04","DIA_Becket_HELLO1"
"PC_HERO","Wenn ich dich töte, würde ich es gerne übernehme.","Jak cię zabiję, to z chęcią go przejmę.","DIA_Becket_HELLO1_15_05","DIA_Becket_HELLO1"
"NONE_5454_Becket","Du bist eine lustige Landratte…","Zabawny jesteś szczurze lądowy, zabawny…","DIA_Becket_HELLO1_03_06","DIA_Becket_HELLO1"
"NONE_5455_Gregor","Ich bin Gregor! DER HARTE GREGOR!","Jestem Gregor! TWARDY GREGOR!","DIA_Gregor_HELLO1_03_01","DIA_Gregor_HELLO1"
"PC_HERO","Du siehst aus wie ein Golem und bist wahrscheinlich genauso hohl.","Rzeczywiście wyglądasz jak golem, i pewnie jesteś tak samo pusty.","DIA_Gregor_HELLO1_15_02","DIA_Gregor_HELLO1"
"NONE_5455_Gregor","(verblüfft) Was? DU BASTARD!","Co? TY GNIDO!","DIA_Gregor_HELLO1_03_03","DIA_Gregor_HELLO1"
"NONE_5460_Herszt","Uns wurde eine Begnadigung angeboten, wenn wir dir den Kopf abschlagen!","Zaoferowano nam ułaskawienie, jeżeli odetniemy ci łeb!","DIA_Herszt_HELLO1_03_01","DIA_Herszt_HELLO1"
"NONE_5460_Herszt","Und wir werden es nicht verkacken, verstehst du?","Nie zamierzamy tego zmarnować, rozumiesz?","DIA_Herszt_HELLO1_03_02","DIA_Herszt_HELLO1"
"PC_HERO","Habt ihr keine andere möglichkeit?","A macie jakieś inne wyjście?","DIA_Herszt_HELLO1_15_03","DIA_Herszt_HELLO1"
"PC_HERO","Der Tatsache nach zu urteilen, dass ihr hier seid, werde ich kein Problem mit euch haben.","Sądząc po tym, że tu jesteście, nie będę miał z wami problemu.","DIA_Herszt_HELLO1_15_04","DIA_Herszt_HELLO1"
"NONE_5460_Herszt","(verblüfft) Was?","Co?","DIA_Herszt_HELLO1_03_05","DIA_Herszt_HELLO1"
"PC_HERO","Ihr müsst ziemlich schwach sein, um euch gefangen nehmen zu lassen!","Musicie być iście słabi, skoro daliście się schwytać!","DIA_Herszt_HELLO1_15_06","DIA_Herszt_HELLO1"
"NONE_5460_Herszt","Du weißt nicht, wie wir geschnappt wurden, du Bastard. Wir werden dir deine dreckige Zunge rausreißen und sie dir in den Arsch schieben!","Gówno wiesz, jak nas złapano gnojku. Wyrwę ci ten parszywy jęzor i wsadzę w dupsko!","DIA_Herszt_HELLO1_03_07","DIA_Herszt_HELLO1"
"NONE_5461_Merlin","Ich habe einen neuen Zauber gemeistert, der dich vom Antlitz der Erde tilgen wird.","Opanowałem nowy czar, który zmiecie cię z powierzchni ziemi.","DIA_Merlin_HELLO1_03_01","DIA_Merlin_HELLO1"
"PC_HERO","Ja, sicher, ich habe wirklich Angst, weißt du?","Tak, pewnie, boję się strasznie wiesz?","DIA_Merlin_HELLO1_15_02","DIA_Merlin_HELLO1"
"NONE_5461_Merlin","Und das solltest du, Junge.","A powinieneś chłopaczku.","DIA_Merlin_HELLO1_03_03","DIA_Merlin_HELLO1"
"PC_HERO","Äh, bringen wir das hinter uns, okay?","Ech, skończmy już to dobra?","DIA_Merlin_HELLO1_15_04","DIA_Merlin_HELLO1"
"NONE_5470_Oped","Lass uns kämpfen!","Walczmy!","DIA_Oped_HELLO1_03_01","DIA_Oped_HELLO1"
"NONE_5500_Hermes","Nun, ist der Tag ist endlich gekommen.","No to w końcu nadszedł ten dzień.","DIA_HERMES_WITAJWOJU_03_01","DIA_HERMES_WITAJWOJU"
"NONE_5500_Hermes","Als ich zum ersten Mal sah, wie du dich in der Arena machst, hatte ich das Gefühl, dass wir uns früher oder später treffen würden.","Kiedy pierwszy raz zobaczyłem jak sobie radzisz na arenie, przeczuwałem, że prędzej czy później się spotkamy.","DIA_HERMES_WITAJWOJU_03_02","DIA_HERMES_WITAJWOJU"
"PC_HERO","Hattest du Angst vor mir?","Obawiałeś się mnie?","DIA_HERMES_WITAJWOJU_15_03","DIA_HERMES_WITAJWOJU"
"NONE_5500_Hermes","Wie kommst du darauf? Du unterscheidest dich nicht von den früheren Draufgängern, die meinen Titel holen wollten.","Skąd ten pomysł? Nie różnisz się niczym od poprzednich śmiałków, którzy chcieli odebrać mi tytuł.","DIA_HERMES_WITAJWOJU_03_04","DIA_HERMES_WITAJWOJU"
"NONE_5500_Hermes","Ich werde deinen Kopf zerquetschen, genau wie bei den anderen.","Zmiażdżę ci łeb tak samo jak im.","DIA_HERMES_WITAJWOJU_03_05","DIA_HERMES_WITAJWOJU"
"PC_HERO","Es hat also keinen Sinn mehr zu Reden. Es ist an der Zeit zu sehen, wer von uns heute lebend herauskommt.","Zatem nie ma co dłużej gadać. Czas przekonać się, kto z nas ujdzie dziś z życiem.","DIA_HERMES_WITAJWOJU_15_06","DIA_HERMES_WITAJWOJU"
"NONE_5501_Izyrion","Nun, dieser Kampf hat endlich begonnen.","No to w końcu doszło do tej walki.","DIA_Izyrion_HELLO1AS_03_01","DIA_Izyrion_HELLO1AS"
"PC_HERO","Warte! Du bist es?","Czekaj, zaraz! To ty?","DIA_Izyrion_HELLO1AS_15_02","DIA_Izyrion_HELLO1AS"
"PC_HERO","Du bist der nervige alte Mann.","Przecież to ty jesteś tym irytującym starcem.","DIA_Izyrion_HELLO1AS_15_03","DIA_Izyrion_HELLO1AS"
"NONE_5501_Izyrion","Ein alter Mann, der die Ursache deines Todes sein wird.","Starcem, który będzie powodem twojej śmierci.","DIA_Izyrion_HELLO1AS_03_04","DIA_Izyrion_HELLO1AS"
"NONE_5501_Izyrion","Nur weil du in der Bucht Champion geworden bist, heißt das nicht, dass du mir hier den Titel wegnehmen kannst.","To, że zostałeś mistrzem w zatoce, nie oznacza, że będziesz w stanie odebrać mi tytuł tutaj.","DIA_Izyrion_HELLO1AS_03_05","DIA_Izyrion_HELLO1AS"
"PC_HERO","Lass uns dieses Gespräch nicht verlängern, es ist Zeit, dem Leben Lebewohl zu sagen, alter Mann!","Nie przedłużajmy tej gadki, pora pożegnać się z życiem stary capie!","DIA_Izyrion_HELLO1AS_15_06","DIA_Izyrion_HELLO1AS"
"NONE_5502_Robin","Der Tag ist gekommen! Endlich kann ich gegen dich kämpfen.","No to nadszedł ten dzień! W końcu mogę z tobą zawalczyć.","DIA_ROBIN_HELLO1_03_01","DIA_ROBIN_HELLO1"
"NONE_5502_Robin","Ich wusste von Anfang an, dass es kein Zufall war, dass du in zwei Arenen Champion geworden bist.","Od początku wiedziałem, że to nie przypadek, że zostałeś mistrzem aż na dwóch arenach.","DIA_ROBIN_HELLO1_03_02","DIA_ROBIN_HELLO1"
"NONE_5502_Robin","Du bist beeindruckend!","To imponujące!","DIA_ROBIN_HELLO1_03_03","DIA_ROBIN_HELLO1"
"NONE_5502_Robin","Irgendwann geht jedoch alles zu Ende.","Jednak wszystko się kiedyś kończy.","DIA_ROBIN_HELLO1_03_04","DIA_ROBIN_HELLO1"
"PC_HERO","Genau, z.b dein Status als Champion in diesem Bereich.","Dokładnie, twoje mistrzostwo na tej arenie na przykład.","DIA_ROBIN_HELLO1_15_05","DIA_ROBIN_HELLO1"
"NONE_5502_Robin","Bring mich nicht zum Lachen. Ich schieße dir einen Pfeil durch den Kopf, bevor du mich erreichen kannst!","Nie rozśmieszaj mnie. Przeszyję ci łeb strzałą, zanim zdążysz do mnie dobiec!","DIA_ROBIN_HELLO1_03_06","DIA_ROBIN_HELLO1"
"NONE_5502_Robin","Es besteht kein Grund mehr zu zögern, die Menschen sind hungrig nach Emotionen!","Nie ma co dłużej zwlekać, ludzie są głodni emocji!","DIA_ROBIN_HELLO1_03_07","DIA_ROBIN_HELLO1"
"PC_HERO","Also lass uns anfangen!","Zaczynajmy więc!","DIA_ROBIN_HELLO1_15_08","DIA_ROBIN_HELLO1"
"NONE_5504_Roland","Der Tag des Gerichts ist also gekommen.","A zatem nadszedł dzień rozstrzygnięcia.","DIA_ROLAND_HELLO1_03_01","DIA_ROLAND_HELLO1"
"NONE_5504_Roland","Romulus… Ein stolzer Name und ein stolzer Krieger trägt ihn.","Romulus… Dumne imię i dumny wojownik je nosi.","DIA_ROLAND_HELLO1_03_02","DIA_ROLAND_HELLO1"
"NONE_5504_Roland","Dein Ruhm eilt dir voraus, Gladiator.","Twoja sława cię wyprzedza gladiatorze.","DIA_ROLAND_HELLO1_03_03","DIA_ROLAND_HELLO1"
"NONE_5504_Roland","Randal gehört mir, vergiss das nicht.","Randale należy do mnie, zapamiętaj to sobie.","DIA_ROLAND_HELLO1_03_04","DIA_ROLAND_HELLO1"
"PC_HERO","Ich weiß nicht… Sieht eher aus wie meins.","Czy ja wiem… Wygląda bardziej na moje.","DIA_ROLAND_HELLO1_15_05","DIA_ROLAND_HELLO1"
"NONE_5504_Roland","Dein Selbstvertrauen wird dich in die Irre führen. Es ist die gesegnete Kraft Gottes, die hinter mir steht, und sie wird bei mir bleiben bis zum Ende.","Pewność siebie cię zgubi. To za mną stoi błogosławiona moc boska i to ze mną pozostanie ona do samego końca.","DIA_ROLAND_HELLO1_03_06","DIA_ROLAND_HELLO1"
"NONE_5504_Roland","Ich habe einmal versprochen, dass ich diese Welt siegreich verlassen werde, wenn ich meine Mission erfüllt habe.","Przyrzekłem kiedyś, że odejdę z tego świata jako zwycięzca, wtedy kiedy już wykonam swoją misję.","DIA_ROLAND_HELLO1_03_07","DIA_ROLAND_HELLO1"
"PC_HERO","Seit wann gilt es als heilige Mission, Gladiator zu werden?","Od kiedy to zostanie gladiatorem traktowane jest jako święta misja?","DIA_ROLAND_HELLO1_15_08","DIA_ROLAND_HELLO1"
"PC_HERO","Du bist nur wegen des Ruhms hier, deine Argumente sind umsonst. Sklave.","Jesteś tu tylko dla chwały, na nic te twoje wywody. Niewolniku.","DIA_ROLAND_HELLO1_15_09","DIA_ROLAND_HELLO1"
"NONE_5504_Roland","Wie kannst du es wagen, mich einen Sklaven zu nennen?","Jak śmiesz nazywać mnie niewolnikiem?","DIA_ROLAND_HELLO1_03_10","DIA_ROLAND_HELLO1"
